"age" "gender" "attitude" "points" "deep" "stra" "surf"
"1" 53 "F" 3.7 25 3.58333333333333 3.375 2.58333333333333
"2" 55 "M" 3.1 12 2.91666666666667 2.75 3.16666666666667
"3" 49 "F" 2.5 24 3.5 3.625 2.25
"4" 53 "M" 3.5 10 3.5 3.125 2.25
"5" 49 "M" 3.7 22 3.66666666666667 3.625 2.83333333333333
"6" 38 "F" 3.8 21 4.75 3.625 2.41666666666667
"7" 50 "M" 3.5 21 3.83333333333333 2.25 1.91666666666667
"8" 37 "F" 2.9 31 3.25 4 2.83333333333333
"9" 37 "M" 3.8 24 4.33333333333333 4.25 2.16666666666667
"10" 42 "F" 2.1 26 4 3.5 3
"11" 37 "M" 3.9 31 3.58333333333333 3.625 2.66666666666667
"12" 34 "F" 3.8 31 3.83333333333333 4.75 2.41666666666667
"13" 34 "F" 2.4 23 4.25 3.625 2.25
"14" 34 "F" 3 25 3.33333333333333 3.5 2.75
"15" 35 "M" 2.6 21 4.16666666666667 1.75 2.33333333333333
"16" 33 "F" 4.1 31 3.66666666666667 3.875 2.33333333333333
"17" 32 "F" 2.6 20 4.08333333333333 1.375 2.91666666666667
"18" 44 "F" 2.6 22 3.5 3.25 2.5
"19" 29 "M" 1.7 9 4.08333333333333 3 3.75
"20" 30 "F" 2.7 24 4 3.75 2.75
"21" 27 "M" 3.9 28 3.91666666666667 2.625 2.33333333333333
"22" 29 "M" 3.4 30 4 2.375 2.41666666666667
"23" 31 "F" 2.7 24 4 3.625 3
"24" 37 "F" 2.3 9 3.66666666666667 2.75 2.41666666666667
"25" 26 "F" 3.7 26 3.66666666666667 1.75 2.83333333333333
"26" 26 "F" 4.4 32 4.41666666666667 3.25 3.16666666666667
"27" 30 "M" 4.1 32 3.91666666666667 4 3
"28" 33 "F" 3.7 33 3.75 3.625 2
"29" 33 "F" 2.5 29 3.25 2.875 3.5
"30" 28 "M" 3 30 3.58333333333333 3 3.75
"31" 26 "M" 3.4 19 4.91666666666667 1.625 2.5
"32" 27 "F" 3.2 23 3.58333333333333 3.25 2.08333333333333
"33" 25 "F" 2 19 2.91666666666667 3.5 2.41666666666667
"34" 31 "F" 2.4 12 3.66666666666667 3 2.58333333333333
"35" 20 "M" 4.2 10 4.5 3.25 1.58333333333333
"36" 39 "F" 1.6 11 4.08333333333333 1.875 2.83333333333333
"37" 38 "M" 3.1 20 3.83333333333333 4.375 1.83333333333333
"38" 24 "M" 3.8 26 3.25 3.625 2.41666666666667
"39" 26 "M" 3.8 31 2.33333333333333 2.5 3.25
"40" 25 "M" 3.3 20 3.33333333333333 1.25 3.41666666666667
"41" 30 "F" 1.7 23 4.08333333333333 4 3.41666666666667
"42" 25 "F" 2.5 12 2.91666666666667 3 3.16666666666667
"43" 30 "M" 3.2 24 3.33333333333333 2.5 3.5
"44" 48 "F" 3.5 17 3.83333333333333 4.875 2.66666666666667
"45" 24 "F" 3.2 29 3.66666666666667 5 2.41666666666667
"46" 40 "F" 4.2 23 4.66666666666667 4.375 3.58333333333333
"47" 25 "M" 3.1 28 3.75 3.25 2.08333333333333
"48" 23 "F" 3.9 31 3.41666666666667 4 3.75
"49" 25 "F" 1.9 23 4.16666666666667 3.125 2.91666666666667
"50" 23 "F" 2.1 25 2.91666666666667 2.5 2.91666666666667
"51" 27 "M" 2.5 18 4.16666666666667 3.125 2.41666666666667
"52" 25 "M" 3.2 19 3.58333333333333 3.25 3
"53" 23 "M" 3.2 22 2.83333333333333 2.125 3.41666666666667
"54" 23 "F" 2.6 25 4 2.75 2.91666666666667
"55" 23 "F" 2.3 21 2.91666666666667 2.375 3.25
"56" 45 "F" 3.8 9 3 3.125 3.25
"57" 22 "F" 2.8 28 4.08333333333333 4 2.33333333333333
"58" 23 "F" 3.3 25 2.91666666666667 4 3.25
"59" 21 "M" 4.8 29 3.5 2.25 2.5
"60" 21 "M" 4 33 4.33333333333333 3.25 1.75
